     time   lidar_F   lidar_R      gyro compass_x compass_y
   1.5500  4.500690  4.569317 -0.099299  1.003452 -0.060946
   1.5550  4.269304  4.696777 -0.102423  0.980423 -0.063834
   1.5600  4.911896  4.507912 -0.101896  0.991870 -0.062836
   1.5650  4.235116  4.563289 -0.099627  1.055179 -0.067366
   1.5700  4.001490  5.024357 -0.110737  1.027231 -0.059023
   1.5750  4.092665  5.204258 -0.117784  1.085669 -0.065708
   1.5800  4.235012  4.735922 -0.109987  1.082804 -0.062286
   1.5850  4.343391  4.704804 -0.118059  1.019839 -0.061143
   1.5900  4.527006  4.456497 -0.106440  0.982593 -0.070359
   1.5950  4.164809  4.405858 -0.111795  0.948009 -0.065977
   1.6000  5.016764  4.831906 -0.108202  0.940213 -0.067095
   1.6050  5.073887  4.531738 -0.099397  1.007613 -0.065677
   1.6100  4.597181  4.909505 -0.109717  0.992681 -0.071725
   1.6150  4.497825  4.736745 -0.098607  0.999541 -0.078283
   1.6200  4.408709  4.443910 -0.102323  1.017227 -0.073043
   1.6250  4.388035  4.712995 -0.107022  1.006237 -0.075486
   1.6300  4.470329  4.581666 -0.108587  1.019277 -0.070239
   1.6350  4.304022  4.874531 -0.098231  1.074870 -0.065993
   1.6400  4.004376  4.322956 -0.103718  1.053749 -0.070639
   1.6450  4.325717  4.532340 -0.107999  0.972158 -0.073143
   1.6500  4.276731  4.749482 -0.111803  0.998140 -0.071327
   1.6550  4.268890  4.518775 -0.121699  0.930143 -0.071471
   1.6600  4.533910  4.417992 -0.115960  0.917009 -0.075266
   1.6650  4.230210  4.778046 -0.124048  0.956107 -0.073872
   1.6700  4.457562  4.800358 -0.122246  1.064527 -0.075918
   1.6750  4.319795  5.096324 -0.104292  1.017828 -0.085535
   1.6800  4.336366  4.517659 -0.120901  1.067004 -0.074907
   1.6850  4.683028  4.452402 -0.104031  0.944546 -0.077777
   1.6900  4.227032  4.641794 -0.116113  1.038026 -0.075839
   1.6950  4.646319  4.455349 -0.115502  0.954134 -0.078357
   1.7000  4.320934  4.307711 -0.116195  1.026265 -0.075153
   1.7050  4.434951  4.724819 -0.110612  0.896888 -0.083024
   1.7100  4.397779  4.782046 -0.109704  0.995725 -0.079945
   1.7150  4.590017  4.363844 -0.121973  0.932240 -0.076921
   1.7200  4.221376  4.888448 -0.121098  0.985171 -0.084635
   1.7250  4.596821  4.807541 -0.109302  0.942271 -0.084673
   1.7300  4.591105  4.472877 -0.108542  1.012431 -0.083239
   1.7350  4.050717  4.334880 -0.122335  0.971760 -0.081363
   1.7400  4.511236  5.102059 -0.112674  1.073122 -0.085286
   1.7450  4.228677  4.729987 -0.116905  0.995011 -0.080285
   1.7500  4.075621  4.799622 -0.119787  1.040765 -0.085677
   1.7550  4.340838  4.687312 -0.123135  0.912588 -0.079315
   1.7600  4.729409  4.651083 -0.115193  1.040034 -0.077844
   1.7650  4.661617  4.548056 -0.117329  1.028576 -0.089618
   1.7700  4.121566  4.480472 -0.133233  1.020348 -0.093409
   1.7750  4.165711  4.725303 -0.125830  1.027120 -0.086863
   1.7800  4.225746  4.509249 -0.096140  1.093665 -0.085539
   1.7850  4.538067  4.682675 -0.127321  0.969155 -0.086847
   1.7900  4.410766  4.846745 -0.114564  1.008887 -0.091718
   1.7950  4.485300  4.800093 -0.123473  0.921805 -0.085874
   1.8000  4.319505  4.451275 -0.125616  0.943661 -0.089068
   1.8050  4.386444  4.514726 -0.133375  1.013846 -0.096357
   1.8100  4.161655  4.859945 -0.129598  1.070555 -0.090618
   1.8150  4.604807  4.912534 -0.128033  1.096044 -0.090027
   1.8200  4.465140  4.283613 -0.129218  1.069300 -0.093432
   1.8250  4.464616  4.602493 -0.120632  0.938224 -0.095193
   1.8300  4.517475  4.783855 -0.128647  1.049903 -0.095919
   1.8350  4.404408  5.031689 -0.117003  0.956987 -0.094071
   1.8400  4.553475  5.097243 -0.115101  0.964129 -0.099308
   1.8450  4.284110  4.564912 -0.130745  0.968767 -0.097196
   1.8500  4.353636  4.448511 -0.113504  0.984270 -0.100393
   1.8550  4.282578  4.283448 -0.118248  1.005860 -0.096621
   1.8600  4.344726  4.672038 -0.127257  1.038058 -0.087153
   1.8650  4.356233  4.103516 -0.123230  1.010806 -0.097493
   1.8700  4.564931  4.181912 -0.119686  1.020153 -0.103981
   1.8750  4.237198  4.911792 -0.125295  0.956074 -0.105330
   1.8800  4.257238  4.487584 -0.120398  1.058941 -0.104575
   1.8850  4.582244  4.338909 -0.119524  0.950311 -0.102941
   1.8900  4.445046  4.761304 -0.127345  0.957230 -0.106653
   1.8950  4.305993  4.562466 -0.123992  0.934430 -0.112065
   1.9000  4.609466  4.492754 -0.126301  1.035540 -0.101666
   1.9050  4.655902  4.323885 -0.129902  0.930245 -0.103559
   1.9100  4.332750  5.104292 -0.122525  0.937007 -0.104315
   1.9150  4.595499  4.589951 -0.128413  0.990318 -0.102586
   1.9200  4.360782  4.950061 -0.129329  0.952067 -0.110668
   1.9250  4.299220  4.717526 -0.145710  1.093332 -0.115511
   1.9300  4.164994  4.554998 -0.131811  0.993406 -0.110924
   1.9350  4.096778  4.592407 -0.137345  0.994319 -0.099297
   1.9400  4.144465  4.624992 -0.110051  0.973585 -0.112212
   1.9450  4.669811  4.480174 -0.127198  0.991780 -0.106645
   1.9500  3.914428  4.807791 -0.130189  1.048492 -0.104413
   1.9550  4.537510  4.616131 -0.127233  0.982303 -0.112575
   1.9600  4.531355  4.817212 -0.124214  1.024168 -0.110107
   1.9650  4.321894  4.783131 -0.128005  0.946418 -0.108533
   1.9700  4.247127  4.475564 -0.118418  0.929726 -0.114774
   1.9750  4.289544  4.419880 -0.127996  1.012283 -0.113161
   1.9800  3.875504  4.338264 -0.139330  1.065875 -0.106787
   1.9850  4.179433  4.704781 -0.127264  0.999389 -0.112011
   1.9900  4.459788  4.799376 -0.123228  0.974959 -0.112133
   1.9950  4.562244  4.680692 -0.132943  0.927458 -0.110255
   2.0000  4.280329  4.924368 -0.137411  0.914926 -0.128584
   2.0050  4.443176  4.567302 -0.140328  0.975002 -0.116975
   2.0100  4.053709  4.591807 -0.137744  1.022135 -0.114490
   2.0150  4.837168  4.681365 -0.128401  0.986221 -0.119572
   2.0200  4.302679  4.119794 -0.140469  1.007731 -0.115719
   2.0250  4.447798  4.423552 -0.130308  1.004603 -0.113704
   2.0300  4.447278  4.682023 -0.126566  1.027665 -0.107211
   2.0350  3.875946  4.671063 -0.138609  0.922185 -0.110286
   2.0400  4.376040  4.431472 -0.147106  0.870586 -0.117506
   2.0450  4.396001  4.780466 -0.137987  0.902737 -0.121166
   2.0500  4.392617  4.548451 -0.141816  0.946537 -0.122482
   2.0550  4.225208  4.309203 -0.152740  0.974814 -0.131719
   2.0600  4.395487  5.376184 -0.142109  0.958023 -0.116249
   2.0650  4.063550  4.798795 -0.143801  0.998626 -0.126639
   2.0700  4.321359  4.790402 -0.133406  0.964944 -0.121633
   2.0750  4.174277  4.592076 -0.136751  1.029479 -0.121385
   2.0800  4.298236  4.975840 -0.139529  0.990110 -0.125423
   2.0850  4.200904  5.040791 -0.137311  0.951242 -0.126573
   2.0900  4.586666  4.257533 -0.118172  1.002445 -0.112915
   2.0950  4.048129  4.694946 -0.143460  1.113088 -0.119308
   2.1000  4.291778  4.622510 -0.140059  1.102928 -0.126833
   2.1050  4.177848  4.710206 -0.140963  1.000195 -0.128145
   2.1100  4.324590  4.604480 -0.140900  1.034820 -0.118585
